Month,Trade_PnL,Account_Balance,Return_%,Cumulative_Return_%
2018-01,-36892.94,363107.06,-9.22,-9.22
2018-02,-33141.82,329965.24,-8.29,-17.51
2018-03,-31669.45,298295.79,-7.92,-25.43
2018-04,-35062.44,263233.35,-8.77,-34.19
2018-05,-37262.840000000004,225970.51,-9.32,-43.51
2018-06,-35697.12,190273.39,-8.92,-52.43
2018-07,-38174.5,152098.89,-9.54,-61.98
2018-08,-36744.76,115354.13,-9.19,-71.16
2018-09,-33178.93,82175.2,-8.29,-79.46
2018-10,-37834.86,44340.34,-9.46,-88.91
2018-11,-32075.37,12264.97,-8.02,-96.93
2018-12,-34571.37,-22306.4,-8.64,-105.58
2019-01,-40572.34,-62878.74,-10.14,-115.72
2019-02,-34961.49,-97840.23,-8.74,-124.46
2019-03,-33687.56,-131527.79,-8.42,-132.88
2019-04,-34204.49,-165732.28,-8.55,-141.43
2019-05,-41698.71,-207430.99,-10.42,-151.86
2019-06,-35442.05,-242873.04,-8.86,-160.72
2019-07,-41751.65,-284624.69,-10.44,-171.16
2019-08,-36945.45,-321570.14,-9.24,-180.39
2019-09,-34892.69,-356462.83,-8.72,-189.12
2019-10,-35091.68,-391554.51,-8.77,-197.89
2019-11,-36508.38,-428062.89,-9.13,-207.02
2019-12,-38044.729999999996,-466107.62,-9.51,-216.53
2020-01,-42469.58,-508577.2,-10.62,-227.14
2020-02,-38136.19,-546713.39,-9.53,-236.68
2020-03,-41077.19,-587790.58,-10.27,-246.95
2020-04,-32380.28,-620170.86,-8.1,-255.04
2020-05,-32111.79,-652282.65,-8.03,-263.07
2020-06,-39333.73,-691616.38,-9.83,-272.9
2020-07,-41533.97,-733150.35,-10.38,-283.29
2020-08,-37622.08,-770772.43,-9.41,-292.69
2020-09,-41378.07,-812150.5,-10.34,-303.04
2020-10,-39679.33,-851829.83,-9.92,-312.96
2020-11,-37994.409999999996,-889824.24,-9.5,-322.46
2020-12,-45398.520000000004,-935222.76,-11.35,-333.81
2021-01,-46870.47,-982093.23,-11.72,-345.52
2021-02,-52913.93,-1035007.16,-13.23,-358.75
2021-03,-48502.59,-1083509.75,-12.13,-370.88
2021-04,-44961.58,-1128471.33,-11.24,-382.12
2021-05,-43816.72,-1172288.05,-10.95,-393.07
2021-06,-49372.409999999996,-1221660.46,-12.34,-405.42
2021-07,-47064.27,-1268724.73,-11.77,-417.18
2021-08,-48719.32,-1317444.05,-12.18,-429.36
2021-09,-51649.68,-1369093.73,-12.91,-442.27
2021-10,-52909.48,-1422003.21,-13.23,-455.5
2021-11,-52079.49,-1474082.7,-13.02,-468.52
2021-12,-55515.48,-1529598.18,-13.88,-482.4
2022-01,-51309.77,-1580907.95,-12.83,-495.23
2022-02,-51369.46,-1632277.41,-12.84,-508.07
2022-03,-52955.2,-1685232.61,-13.24,-521.31
2022-04,-47529.14,-1732761.75,-11.88,-533.19
2022-05,-53440.17,-1786201.92,-13.36,-546.55
2022-06,-52868.53,-1839070.45,-13.22,-559.77
2022-07,-50077.2,-1889147.65,-12.52,-572.29
2022-08,-49307.96,-1938455.61,-12.33,-584.61
2022-09,-55793.01,-1994248.62,-13.95,-598.56
2022-10,-43906.95,-2038155.57,-10.98,-609.54
2022-11,-52235.51,-2090391.08,-13.06,-622.6
2022-12,-56672.28,-2147063.36,-14.17,-636.77
2023-01,-56277.13,-2203340.49,-14.07,-650.84
2023-02,-50688.13,-2254028.62,-12.67,-663.51
2023-03,-51852.06,-2305880.68,-12.96,-676.47
2023-04,-41047.07,-2346927.75,-10.26,-686.73
2023-05,-55282.65,-2402210.4,-13.82,-700.55
2023-06,-52595.42,-2454805.82,-13.15,-713.7
2023-07,-55470.3,-2510276.12,-13.87,-727.57
2023-08,-57648.49,-2567924.61,-14.41,-741.98
2023-09,-53195.84,-2621120.45,-13.3,-755.28
2023-10,-52448.54,-2673568.99,-13.11,-768.39
2023-11,-52535.81,-2726104.8,-13.13,-781.53
2023-12,-56958.77,-2783063.57,-14.24,-795.77
2024-01,-66163.88,-2849227.45,-16.54,-812.31
2024-02,-63811.86,-2913039.31,-15.95,-828.26
2024-03,-57173.63,-2970212.94,-14.29,-842.55
2024-04,-60569.47,-3030782.41,-15.14,-857.7
2024-05,-67411.52,-3098193.93,-16.85,-874.55
2024-06,-64400.27,-3162594.2,-16.1,-890.65
2024-07,-72528.18,-3235122.38,-18.13,-908.78
2024-08,-36061.93,-3271184.31,-9.02,-917.8
